One Hot Encode,Symptom Description
31,I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scurring a lot.
31,I've just developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive.
31,"My skin has been breaking out in a terrible rash lately. Blackheads and pus-filled pimples abound on it. Additionally, my skin has been scurring a lot."
31,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot."
31,I've been having a very unhealthy rash on my skin latterly. It's filled with pus-filled pimples and blackheads. My skin has additionally been scurring heaps.
31,My skin has just acquired a nasty rash. It's full of pus-filled pimples and blackheads. My skin has been really sensitive as well.
31,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
31,"I recently experienced a severe skin rash. Blackheads and pimples filled with pus are clogging it. Additionally, my skin has been quite irritated."
31,My skin has recently been severely rashy. Blackheads and pus-filled pimples have blocked it. My skin has been quite delicate as well.
31,Lately I've been experiencing a skin rash with a lot of pus-filled pimples and blackheads. My skin has also been scurring a lot.
31,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
31,My skin has now developed a revolting rash. There are pus-filled pimples and blackheads everywhere. My skin has also been really sensitive.
31,"My skin has developed a horrible rash. There are blackheads and pus-filled pimples everywhere. Furthermore, my skin has been exceedingly sensitive."
31,"A nasty rash has just appeared on my skin. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been extremely sensitive."
31,My skin has simply nonheritable a nasty rash. It's packed with pus-filled pimples and blackheads. My skin has been very sensitive moreover.
31,"My skin has developed a terrible rash that is not inherited. It has a lot of blackheads and pus-filled pimples. Furthermore, my skin has been exceedingly sensitive."
31,"Recently, I've been experiencing a lot of acne breakouts with pimples that contain pus. I've also been struggling with blackheads."
31,I woke up this morning and found that I have a really nasty rash all over my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
31,I've been noticing a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
31,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
31,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
31,I woke up this morning to find a really nasty rash on my skin. There are a ton of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
31,I've been struggling with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
31,I just developed a really nasty rash on my skin. There are tons of blackheads and pimples that are filled with pus. My skin has also been really scurrying.
31,I've been dealing with a really nasty rash on my skin lately. It's covered in blackheads and pimples that are packed with pus. My skin has also been really scurrying.
31,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.
31,I recently had a horrible rash on my skin. There are several blackheads and pus-filled pimples. My skin has also been moving around a lot.
31,"This morning when I woke up, I discovered that I have an extremely bad rash all over my body. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
31,I awoke this morning to see that I had a horrible rash all over my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
31,I've just developed a skin rash with several pus-filled pimples and blackheads. My skin has also been quite sensitive.
31,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
31,"I woke up this morning to find that I have a terrible rash all over my body. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been changing a lot."
31,"When I awoke this morning, I realised that I had a severe rash all over my body. There are many pus-filled pimples and blackheads all over the place. My skin has also been scurring a lot."
31,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying about.
31,I awoke this morning to see a horrible rash on my skin. There are several blackheads and pimples loaded with pus. My skin has also been scurrying about.
31,"This morning when I woke up, I discovered an extremely bad rash on my skin. There are several pus-filled pimples and blackheads all around. My skin has also been moving around a lot."
31,I've recently been battling a pretty itchy rash on my skin. There are pus-filled pimples and blackheads all over it. My skin has also been scurring a lot.
31,"This morning, I realized that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
31,"I woke up today to find that I had a major rash all over my body. There are lots of pimples filled with pus and blackheads everywhere, and my skin has been scurrying a lot."
31,"I woke up this morning to find that I had a major rash all over my body. It's covered in pus-filled pimples and blackheads, and my skin has been scurrying a lot"
31,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
31,"I discovered that I had a significant rash all over my body this morning. Blackheads and pus-filled pimples are proliferating, and my skin has been scurrying a lot."
31,"Yesterday, I noticed an enormous rash all over my skin. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot."
31,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot."
31,"My skin has a horrible rash that is absolutely nonheritable. Blackheads and pus-filled pimples abound on it. In addition, my skin has been quite sensitive."
31,"My skin has merely developed an uninherited rash. It has a lot of pus-filled pimples and blackheads. Furthermore, my skin has been quite sensitive."
31,"When I awoke this morning, I saw a severe rash across my skin. There are many pus-filled pimples and blackheads all over the place. My skin has also been shifting a lot."
31,"When I woke up this morning, I saw a terrible rash on my skin. Blackheads and pus-filled pimples are all over the place. Additionally, my skin has been shifting a lot."
31,"I've recently struggled with a really irritating skin rash. There are blackheads and pus-filled pimples all over it. Additionally, my skin has been scurring a lot."
31,I've recently been dealing with an itching rash on my skin. It's covered in pus-filled pimples and blackheads. My skin has also been quite sensitive.
31,"My face feels like a battlefield. There's a constant war raging between my skin and these nasty, pus-filled pimples that just won't quit. And those blackheads! They're like little landmines waiting to erupt. My skin feels so rough and irritated, like it's constantly under attack. It's hard to even touch my face without wincing."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with whiteheads, others just black dots. It's itchy and tender, and even the slightest touch makes it feel like it's on fire. I can't remember the last time my skin felt this rough and uncomfortable."
31,"My face feels like a battlefield.  There are red, inflamed bumps everywhere, some with whiteheads, some blackheads, and some just angry, raw patches.  It's constantly itchy and feels so sensitive that even my pillowcase feels rough."
31,"My face has been feeling rough and bumpy lately. It's like I have tiny, painful volcanoes erupting all over, some filled with white pus and others just black and clogged. It's been so itchy and uncomfortable, and my skin feels extra sensitive."
31,"My face feels like a battlefield. It's constantly inflamed, with red, angry bumps that seem to erupt overnight. Some are filled with pus, others are just blackheads, but they all leave my skin feeling rough and uneven. It's so itchy, I can barely keep my hands off it, which only seems to make things worse."
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some filled with pus, others just angry blackheads. It's so itchy and sensitive, I can barely touch it.  It feels like every time I wash my face, I just make it worse."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with whiteheads, some with blackheads.  I can't stop touching it, even though it feels rough and irritated. It's like my skin is constantly fighting something, and I'm just stuck in the middle of it."
31,"My face has been feeling rough and bumpy lately.  When I look closely, I see tiny black dots and inflamed red bumps that are sometimes filled with white pus.  My skin feels so sensitive that it stings when I wash it."
31,"My skin has been acting up lately, with a persistent rash that's just not going away. It's covered in painful, pus-filled pimples and stubborn blackheads. It feels so rough and irritated, and it’s driving me crazy!"
31,"My face feels like a battlefield.  It's covered in red, inflamed bumps, some of them filled with pus and others just stubborn blackheads.  It's incredibly itchy and feels so rough, like sandpaper.  I can't even touch my face without wincing."
31,"My face has been feeling rough and bumpy lately.  It's covered in tiny whiteheads and some larger pimples that are red and inflamed, and some of them even have a white tip filled with pus. There are also some blackheads that look like little dark dots. My skin feels really sensitive, and it's been getting itchy and irritated. I'm worried that this could be something more serious than just a bad breakout."
31,"My face feels like a warzone. It's constantly red and inflamed, with new pimples popping up seemingly overnight. Some are filled with pus, others are just angry red bumps, and there are blackheads lurking everywhere. My skin is so sensitive, even the slightest touch makes it sting. I've tried everything, but nothing seems to work."
31,"My face feels like a battlefield. There are red, inflamed bumps everywhere, some with whiteheads, others with blackheads. It's constantly itchy and tender, and I can't help but pick at the blemishes, which makes it even worse.  I'm worried it's going to scar."
31,"My face feels like a battlefield. It's covered in angry red bumps, some filled with whiteheads, others with blackheads.  It's so itchy and uncomfortable, and I can't stop picking at it, even though I know it's making things worse. My skin feels rough and irritated, like sandpaper."
31,"My face feels like a battlefield. It's covered in red, inflamed bumps, some with whiteheads, some with blackheads, and some just angry red patches. I can't stop touching it, and it feels so sensitive, like it's burning.  It's also starting to flake, which is making it look even worse."
